Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_EUR_USD;Percentage_diff_EUR_USD;Price_USD_JPY;Percentage_diff_USD_JPY;Price_USD_CNY;Percentage_diff_USD_CNY
2010-07-18;0.1;0.0;0.1;0.1;80.0;0.0;0.0;1.2933;-0.05;86.57;-0.98;6.7752;-0.04
2010-07-19;0.1;0.1;0.1;0.1;570.0;0.0;0.0;1.294;0.05;86.76;0.21;6.7782;0.04
2010-07-20;0.1;0.1;0.1;0.1;260.0;0.0;0.0;1.2886;-0.42;87.41;0.75;6.7783;0.0
2010-07-21;0.1;0.1;0.1;0.1;580.0;0.0;0.0;1.2757;-1.0;86.85;-0.64;6.777;-0.02
2010-07-22;0.1;0.1;0.1;0.1;2160.0;0.0;0.0;1.2891;1.05;87.22;0.43;6.7797;0.04
2010-07-23;0.1;0.1;0.1;0.1;2400.0;0.0;0.0;1.2907;0.12;87.46;0.28;6.7804;0.01
2010-07-24;0.1;0.1;0.1;0.1;500.0;0.0;0.0;1.2907;0.12;87.46;0.28;6.7804;0.01
2010-07-25;0.1;0.1;0.1;0.1;1550.0;0.0;0.0;1.2907;0.12;87.46;0.28;6.7804;0.01
2010-07-26;0.1;0.1;0.1;0.1;880.0;0.0;0.0;1.2995;0.68;86.91;-0.63;6.7791;-0.02
2010-07-27;0.1;0.1;0.1;0.1;3370.0;0.0;0.0;1.2995;0.0;87.82;1.05;6.7783;-0.01
2010-07-28;0.1;0.1;0.1;0.1;4390.0;0.0;0.0;1.2993;-0.02;87.41;-0.47;6.7782;-0.0
2010-07-29;0.1;0.1;0.1;0.1;8060.000000000001;0.0;0.0;1.3079;0.66;86.78;-0.72;6.7763;-0.03
2010-07-30;0.1;0.1;0.1;0.1;3020.0;0.0;0.0;1.3048;-0.24;86.46;-0.37;6.774;-0.03
2010-07-31;0.1;0.1;0.1;0.1;4020.0;0.0;0.0;1.3048;-0.24;86.46;-0.37;6.774;-0.03
2010-08-01;0.1;0.1;0.1;0.1;2600.0;0.0;0.0;1.3048;-0.24;86.46;-0.37;6.774;-0.03
2010-08-02;0.1;0.1;0.1;0.1;3600.0;0.0;0.0;1.3182;1.03;86.53;0.09;6.7743;0.0
