Date;Price;Open;High;Low;Vol.;Percentage_diff;Price_gold;Price_copper;Price_aluminium;Trend;Residuals;EMA_7d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;ADX_PDM;ATR;Linearregression;Linearintercept;STDDEV;Price_SP500;Price_NASDAQ;Price_DJ;Target;y_test_pred
2021-02-12;47371.7;47995.0;48927.4;46218.6;133730.0;-1.29;1837.6;3.7185;2089.5;47207.91428571428;178.95920368690713;44591.01972503528;36439.67531611722;48753.94036036171;46620.540000000015;44487.13963963832;37432.27475692342;16097.55453840848;3326.516713288496;48083.95428571428;31991.874285714275;1066.7001801808462;3934.83;14095.47;31458.4;0.0;0.0
2022-06-06;31367.6;29911.2;31753.4;29888.6;94010.0;4.86;1843.7;4.435;2782.5;30324.85714285714;1029.9163059054636;30365.854473022027;29855.96459264214;31478.316803916405;30260.260000000097;29042.20319608379;29325.504830629947;4846.469553061443;1514.650338251569;30697.33142857141;29317.354285714304;609.0284019581546;4121.43;12061.37;32914.2;0.0;0.0
2019-05-03;5766.8;5493.6;5844.2;5478.7;1040000.0;4.97;1281.3;2.8905;1789.5;5616.642857142857;165.33063225833305;5461.214562457247;5267.668571428571;5807.858916079026;5440.120000000023;5072.381083921019;5131.955715057031;930.4028451711068;183.14246845594388;5467.345714285714;5258.91142857143;183.8694580395016;2945.64;8164.0;26504.95;1.0;0.0
2020-10-12;11533.9;11370.8;11715.9;11227.4;84020.0;1.43;1967.7;3.0975;1855.5;11372.1;148.9734487626075;11165.483100693462;10817.136291666666;11675.588034801096;11236.320000000022;10797.051965198949;10348.63478784;1349.6632735459905;302.2883989613686;11258.448571428564;10494.622857142862;219.63401740053743;3534.22;11876.36;28837.52;0.0;0.0
2016-07-27;654.5;654.4;659.1;646.0;29890.0;0.02;1326.7;2.2365;1591.5;655.1999999999999;-28.512027427869548;656.8041080802541;660.6858823529412;659.3774863695285;655.4799999999998;651.5825136304711;695.0214175948801;47.95088334792164;21.403632205800687;654.6885714285713;667.8114285714288;1.9487431847643248;2166.58;5139.81;18472.17;0.0;1.0
2017-10-16;5759.3;5677.4;5795.3;5576.1;61360.0;1.25;1301.2;3.317;2130.25;5683.2;63.273448762606776;5447.7566632072885;4568.381818181819;5936.205063432096;5668.400000000003;5400.594936567911;5190.588000000001;1372.0612164671506;279.7503513162114;5826.408571428566;4027.991428571433;133.90253171604613;2557.64;6624.01;22956.96;0.0;0.0
2017-01-06;886.2;989.3;1027.4;852.5;194290.0;-10.43;1173.4;2.5785;1711.75;961.9714285714284;-60.597939170238654;982.4368590268464;863.9334627722058;1172.3571870849505;1012.2400000000004;852.1228129150503;1150.6;245.95265304309305;62.60198875171847;1026.382857142857;906.2885714285716;80.05859354247507;2276.98;5521.06;19963.8;1.0;1.0
2017-12-07;16850.3;13750.1;16879.3;13401.6;297110.0;22.55;1251.4;3.042;2007.5;14263.071428571428;2610.372098155856;12936.48309428184;9167.63828139252;17234.940792865986;13027.420000000004;8819.899207134022;11262.23808;8122.166166658302;1035.4289116741097;13937.802857142857;7863.49714285714;2103.7603964329915;2636.98;6812.84;24211.48;0.0;0.0
2016-12-23;917.2;860.2;920.3;858.0;102220.0;6.63;1132.0;2.5;1720.0;869.4714285714285;62.90206082976123;839.3184484321866;780.418712121212;931.5048483576408;839.1000000000001;746.6951516423595;796.0;155.12555413763084;20.44198656665846;851.5942857142862;749.0485714285712;46.20242417882032;2263.79;5462.69;19933.81;0.0;0.0
2014-10-25;346.7;355.1;356.6;341.5;14040.0;-2.36;1355.0;3.051;1969.0;355.2;-8.548838389784244;364.34620024447247;366.5172727272727;392.14995593938414;363.7799999999994;335.41004406061467;404.40736;40.69168599827148;19.057167736708188;361.1657142857144;394.3485714285713;14.18497796969236;1964.58;4483.72;16805.41;1.0;0.0
