Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;SMA_7d;SMA_15d;SMA_30d;SMA_50d;SMA_100d;SMA_200d;EMA_7d;EMA_15d;EMA_30d;EMA_50d;EMA_100d;EMA_200d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;SMA_7d_ET;SMA_15d_ET;SMA_30d_ET;SMA_50d_ET;SMA_100d_ET;SMA_200d_ET;EMA_7d_ET;EMA_15d_ET;EMA_30d_ET;EMA_50d_ET;EMA_100d_ET;EMA_200d_ET;HTTL_ET;PSAR_ET
2010-07-18;0.1;0.0;0.1;0.1;80.0;0.0;0.0;;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-19;0.1;0.1;0.1;0.1;570.0;0.0;0.0;;;;;;;;;;;;;;;;;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-20;0.1;0.1;0.1;0.1;260.0;0.0;0.0;;;;;;;;;;;;;;;;;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-21;0.1;0.1;0.1;0.1;580.0;0.0;0.0;;;;;;;;;;;;;;;;;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-22;0.1;0.1;0.1;0.1;2160.0;0.0;0.0;;;;;;;;;;;;;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-23;0.1;0.1;0.1;0.1;2400.0;0.0;0.0;;;;;;;;;;;;;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-24;0.1;0.1;0.1;0.1;500.0;0.0;0.0;0.09999999999999999;;;;;;0.09999999999999999;;;;;;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-25;0.1;0.1;0.1;0.1;1550.0;0.0;0.0;0.09999999999999999;;;;;;0.09999999999999999;;;;;;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-26;0.1;0.1;0.1;0.1;880.0;0.0;0.0;0.09999999999999999;;;;;;0.09999999999999999;;;;;;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-27;0.1;0.1;0.1;0.1;3370.0;0.0;0.0;0.09999999999999999;;;;;;0.09999999999999999;;;;;;;0.1;0.1;0.1;0.1;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
