Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_gold;Perc_diff_gold;Price_copper;Perc_diff_copper;Price_aluminium;Perc_diff_aluminium;Trend;Residuals
2014-06-23;591.2;603.6;604.7;582.9;2650.0;-2.06;0.0;1318.0;0.14;3.146;0.9;1892.5;0.21;;
2014-06-24;588.8;591.2;595.7;585.4;3080.0;-0.41;0.0;1320.9;0.22;3.147;0.03;1901.0;0.45;;
2014-06-25;568.5;588.8;589.6;566.9;3090.0;-3.45;0.0;1322.2;0.1;3.16;0.41;1903.5;0.13;;
2014-06-26;582.7;568.5;582.7;565.8;4150.0;2.51;1.0;1316.1;-0.46;3.161;0.03;1898.0;-0.29;590.3;15.54352672728421
2014-06-27;602.2;582.7;603.9;580.1;3390.0;3.35;1.0;1319.0;0.22;3.149;-0.38;1885.0;-0.68;596.5714285714286;20.80206082976121
2014-06-28;597.6;602.2;608.8;594.0;2940.0;-0.78;0.0;1319.0;0.0;3.149;0.0;1885.0;0.0;604.342857142857;-6.791695532641263
2014-06-29;601.1;597.6;604.3;593.2;2890.0;0.59;1.0;1319.0;0.0;3.149;0.0;1885.0;0.0;615.3714285714285;-10.962299536713218
2014-06-30;635.1;601.1;637.3;596.5;3830.0;5.67;1.0;1475.1;11.83;3.188;1.24;1890.75;0.31;623.2714285714286;-0.9979798088221674
2014-07-01;643.2;635.1;652.5;634.1;4110.0;1.27;1.0;1480.2;0.35;3.191;0.09;1884.5;-0.33;626.3857142857142;15.875557606144143
2014-07-02;645.7;643.2;652.1;604.6;4780.0;0.39;1.0;1484.8;0.31;3.252;1.91;1926.0;2.2;630.0142857142856;-12.12631314215519
2014-07-03;638.0;645.7;646.4;633.6;4010.0;-1.19;0.0;1475.6;-0.62;3.265;0.4;1936.0;0.52;633.6714285714286;27.47209815585554
2014-07-04;624.0;638.0;642.2;623.0;3600.0;-2.21;0.0;1475.6;0.0;3.265;0.0;1936.0;0.0;630.6;8.573489401189697
2014-07-05;623.0;624.0;627.8;619.7;3250.0;-0.16;0.0;1475.6;0.0;3.265;0.0;1936.0;0.0;626.6142857142858;-3.6631241040700004
2014-07-06;626.7;623.0;629.4;622.7;2700.0;0.59;1.0;1475.6;0.0;3.265;0.0;1936.0;0.0;623.3714285714285;6.637700463286805
2014-07-07;613.6;626.7;627.9;607.3;2530.0;-2.08;0.0;1472.0;11.41;3.248;-0.52;1919.5;-0.1;620.5714285714286;-19.79797980882212
2014-07-08;615.3;613.6;619.7;609.3;3210.0;0.28;1.0;1471.4;-0.04;3.243;-0.15;1938.0;0.96;621.842857142857;-7.481585250998745
2014-07-09;623.0;615.3;623.8;610.5;3070.0;1.25;1.0;1479.7;0.56;3.236;-0.22;1937.75;-0.01;623.6857142857143;-28.497741713583927
2014-07-10;618.4;623.0;625.0;611.7;3610.0;-0.74;0.0;1494.7;1.01;3.256;0.62;1922.25;-0.8;623.8714285714285;17.672098155855586
2014-07-11;632.9;618.4;633.6;616.1;3120.0;2.35;1.0;1492.9;-0.12;3.259;0.09;1939.0;0.87;624.5428571428571;23.53063225833261
2014-07-12;635.9;632.9;638.6;625.9;3430.0;0.47;1.0;1492.9;0.0;3.259;0.0;1939.0;0.0;625.1571428571428;10.69401875307289
2014-07-13;628.0;635.9;638.6;627.5;1700.0;-1.24;0.0;1492.9;0.0;3.259;0.0;1939.0;0.0;623.9857142857143;7.323414749001003
2014-07-14;618.3;628.0;629.0;616.1;2550.0;-1.55;0.0;1460.7;-2.16;3.239;-0.61;1938.5;-0.03;625.1571428571428;-19.683694094536477
2014-07-15;619.6;618.3;624.4;617.3;3690.0;0.21;1.0;1451.3;-0.64;3.239;0.0;1960.0;1.11;624.3857142857142;-5.724442393855878
2014-07-16;614.8;619.6;622.4;614.2;3000.0;-0.77;0.0;1454.9;0.25;3.205;-1.05;1970.5;0.54;623.1142857142858;-36.12631314215542
2014-07-17;626.6;614.8;632.5;610.0;2920.0;1.92;1.0;1472.1;1.18;3.209;0.12;1990.0;0.99;622.1142857142856;27.6292410129985
2014-07-18;627.5;626.6;630.2;617.9;3350.0;0.14;1.0;1464.7;-0.5;3.174;-1.09;1982.75;-0.36;623.0857142857142;19.587775115475544
2014-07-19;627.0;627.5;634.1;625.1;3960.0;-0.07;0.0;1464.7;0.0;3.174;0.0;1982.75;0.0;623.5;3.451161610215756
2014-07-20;621.0;627.0;627.9;620.0;2300.0;-0.97;0.0;1464.7;0.0;3.174;0.0;1982.75;0.0;624.4857142857143;-0.1765852509989969
2014-07-21;625.1;621.0;625.9;615.0;2530.0;0.67;1.0;1469.6;0.33;3.187;0.41;2021.0;1.93;620.9571428571429;-8.68369409453648
2014-07-22;622.5;625.1;628.8;620.0;3280.0;-0.42;0.0;1461.6;-0.54;3.196;0.28;2044.5;1.16;617.0999999999999;4.461271891858433
2014-07-23;621.7;622.5;625.0;621.0;2170.0;-0.13;0.0;1460.3;-0.09;3.195;-0.03;2017.25;-1.33;612.6714285714286;-18.78345599929815
2014-07-24;601.9;621.7;622.0;599.4;4740.0;-3.19;0.0;1447.3;-0.89;3.254;1.85;2027.0;0.48;608.9571428571428;16.086383870141297
2014-07-25;600.5;601.9;609.1;597.4;5920.0;-0.23;0.0;1460.3;0.9;3.227;-0.83;1998.0;-1.43;603.6428571428571;12.03063225833261
2014-07-26;596.0;600.5;603.0;593.3;3480.0;-0.75;0.0;1460.3;0.0;3.227;0.0;1998.0;0.0;598.4;-2.448838389784221
2014-07-27;595.0;596.0;601.5;593.7;3530.0;-0.16;0.0;1460.3;0.0;3.227;0.0;1998.0;0.0;590.2428571428571;8.066271891858136
2014-07-28;587.9;595.0;597.5;578.1;2330.0;-1.19;0.0;1462.0;0.12;3.231;0.12;2015.0;0.85;588.4714285714285;-13.397979808822145
