Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_gold;Price_copper;Price_aluminium;Trend;Residuals;EMA_7d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;ADX_PDM;ATR;Linearregression;Linearintercept;STDDEV;Price_SP500;Price_NASDAQ;Price_DJ;Comprar_EMA_7d_ET;Mantener_posicion_EMA_7d_ET;Vender_EMA_7d_ET;Comprar_HTTL_ET;Mantener_posicion_HTTL_ET;Vender_HTTL_ET;Comprar_PSAR_ET;Mantener_posicion_PSAR_ET;Vender_PSAR_ET
2014-06-23;591.2;603.6;604.7;582.9;2650.0;-2.06;0.0;1318.0;3.146;1892.5;;;598.4986567929878;594.8567675070028;606.5564793804898;596.5599999999993;586.5635206195087;610.1;70.6438841928036;23.74032882756912;586.831428571429;622.4399999999998;4.998239690245267;1962.61;4368.68;16937.26;0;0;1;0;0;1;0;1;0
2014-06-24;588.8;591.2;595.7;585.4;3080.0;-0.41;0.0;1320.9;3.147;1901.0;;;596.0739925947408;601.432179526356;605.0832587677944;594.2799999999994;583.4767412322044;610.1;65.5978924647462;22.78030533988561;590.0400000000001;609.6885714285711;5.401629383897507;1949.98;4350.35;16818.13;0;1;0;0;1;0;0;1;0
2014-06-25;568.5;588.8;589.6;566.9;3090.0;-3.45;0.0;1322.2;3.16;1903.5;;;589.1804944460556;607.1882354851031;613.4661920825357;589.8199999999994;566.173807917463;606.1560000000001;60.91232871726432;22.774569244179503;588.1371428571425;600.9485714285718;11.823096041268151;1959.53;4379.76;16867.51;0;1;0;0;1;0;0;1;0
2014-06-26;582.7;568.5;582.7;565.8;4150.0;2.51;1.0;1316.1;3.161;1898.0;590.3;15.54352672728421;587.5603708345417;610.9185622771836;609.888968576983;586.9599999999994;564.0310314230157;602.5275200000001;56.56144809460258;22.354957155309545;585.4571428571428;601.5714285714286;11.464484288491793;1957.22;4379.05;16846.13;0;1;0;0;1;0;0;1;0
2014-06-27;602.2;582.7;603.9;580.1;3390.0;3.35;1.0;1319.0;3.149;1885.0;596.5714285714286;20.80206082976121;591.2202781259062;614.4694703500522;608.809582011508;586.6799999999994;564.5504179884907;560.8;73.72134465927377;22.45817450135885;590.0885714285712;595.7828571428573;11.064791005754325;1960.96;4397.93;16851.84;1;0;0;0;1;0;1;0;0
2014-06-28;597.6;602.2;608.8;594.0;2940.0;-0.78;0.0;1319.0;3.149;1885.0;604.342857142857;-6.791695532641263;592.8152085944297;616.1051770320196;611.671128189196;587.9599999999994;564.2488718108027;561.6619999999999;73.35553432646847;21.91116203697608;589.9257142857141;597.9742857142857;11.85556409459831;1960.96;4397.93;16851.84;0;1;0;0;1;0;0;1;0
2014-06-29;601.1;597.6;604.3;593.2;2890.0;0.59;1.0;1319.0;3.149;1885.0;615.3714285714285;-10.962299536713218;594.8864064458223;615.5414573070606;616.4118140960611;590.4199999999994;564.4281859039377;563.54752;68.1158533031493;21.13893617719206;590.1000000000004;600.4857142857142;12.995907048030857;1960.96;4397.93;16851.84;0;1;0;0;1;0;0;1;0
2014-06-30;635.1;601.1;637.3;596.5;3830.0;5.67;1.0;1475.1;3.188;1890.75;623.2714285714286;-0.9979798088221674;604.9398048343668;613.9095244410762;638.0698354205762;603.7399999999994;569.4101645794227;565.3576191999999;96.2504352100672;22.5432978788212;600.8799999999997;594.8485714285717;17.164917710288343;1960.23;4408.18;16826.6;0;1;0;1;0;0;0;1;0
2014-07-01;643.2;635.1;652.5;634.1;4110.0;1.27;1.0;1480.2;3.191;1884.5;626.3857142857142;15.875557606144143;614.5048536257751;611.5948069597071;654.368244185323;615.8399999999995;577.311755814676;569.674162048;104.57540412363387;22.247348030333967;613.5714285714289;587.5999999999998;19.26412209266177;1973.32;4458.65;16956.07;0;1;0;0;1;0;0;1;0
2014-07-02;645.7;643.2;652.1;604.6;4780.0;0.39;1.0;1484.8;3.252;1926.0;630.0142857142856;-12.12631314215519;622.3036402193313;610.0476205128205;666.3266198681388;624.5399999999994;582.75338013186;576.3002290841599;97.10573240051716;24.05110888531011;625.9742857142861;580.8399999999998;20.89330993406968;1974.62;4457.73;16976.24;0;1;0;0;1;0;0;1;0
