"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20, 2022","1,462.12","1,475.50","1,477.00","1,460.25","-","-0.82%"
"Jul 19, 2022","1,474.25","1,494.50","1,495.50","1,456.25","-","-1.54%"
"Jul 18, 2022","1,497.25","1,478.25","1,513.50","1,465.50","-","10.13%"
"Jul 15, 2022","1,359.50","1,367.25","1,377.00","1,349.50","-","-7.63%"
"Jul 14, 2022","1,471.75","1,486.00","1,503.00","1,457.50","-","-0.88%"
"Jul 13, 2022","1,484.75","1,467.50","1,497.25","1,444.75","-","1.12%"
"Jul 12, 2022","1,468.25","1,522.00","1,533.50","1,459.25","-","-3.53%"
"Jul 11, 2022","1,522.00","1,535.00","1,552.75","1,516.25","-","0.58%"
"Jul 08, 2022","1,513.25","1,489.00","1,516.50","1,473.75","-","1.89%"
"Jul 07, 2022","1,485.25","1,450.00","1,496.75","1,448.75","-","2.68%"
"Jul 06, 2022","1,446.50","1,447.00","1,461.50","1,424.25","-","0.50%"
"Jul 05, 2022","1,439.25","1,494.00","1,495.00","1,431.75","-","-4.67%"
"Jul 01, 2022","1,509.75","1,563.75","1,573.25","1,505.25","31.17K","-3.25%"
"Jun 30, 2022","1,560.50","1,571.50","1,601.25","1,552.75","-","-0.70%"
"Jun 29, 2022","1,571.50","1,554.00","1,573.75","1,546.75","-","0.96%"
"Jun 28, 2022","1,556.50","1,534.75","1,564.25","1,531.75","-","1.77%"
"Jun 27, 2022","1,529.50","1,510.75","1,536.25","1,504.00","-","-5.04%"
"Jun 24, 2022","1,610.75","1,588.25","1,620.50","1,583.00","-","1.10%"
"Jun 23, 2022","1,593.25","1,654.00","1,655.50","1,590.00","-","-3.60%"
"Jun 22, 2022","1,652.75","1,684.25","1,685.00","1,647.50","-","-1.68%"
"Jun 21, 2022","1,681.00","1,695.00","1,702.00","1,675.75","-","-0.91%"
"Jun 20, 2022","1,696.38","1,696.88","1,696.88","1,696.38","-","-0.03%"
"Jun 19, 2022","1,696.88","1,696.88","1,696.88","1,696.88","-","-0.30%"
"Jun 17, 2022","1,702.00","1,712.50","1,724.50","1,700.50","84.65K","-0.44%"
"Jun 16, 2022","1,709.50","1,696.75","1,715.50","1,690.50","-","0.93%"
"Jun 15, 2022","1,693.75","1,698.00","1,705.00","1,682.25","-","-0.28%"
"Jun 14, 2022","1,698.50","1,707.50","1,728.25","1,697.00","-","-0.53%"
"Jun 13, 2022","1,707.50","1,751.50","1,757.00","1,702.00","-","-2.18%"
"Jun 10, 2022","1,745.50","1,770.50","1,775.50","1,742.75","-","-1.33%"
"Jun 09, 2022","1,769.00","1,741.00","1,784.00","1,728.50","-","1.67%"
"Jun 08, 2022","1,740.00","1,729.25","1,758.00","1,726.50","138.39K","0.68%"
"Jun 07, 2022","1,728.25","1,699.25","1,732.75","1,692.25","-","1.71%"
"Jun 06, 2022","1,699.25","1,709.00","1,717.75","1,690.00","82.28K","0.09%"
"Jun 03, 2022","1,697.75","1,728.75","1,730.50","1,694.00","-","-1.82%"
"Jun 02, 2022","1,729.25","1,690.25","1,740.75","1,681.25","-","2.31%"
"Jun 01, 2022","1,690.25","1,687.25","1,706.50","1,675.25","-","0.42%"
"May 31, 2022","1,683.25","1,737.75","1,749.25","1,673.75","147.01K","-3.12%"
"May 30, 2022","1,737.50","1,737.50","1,737.50","1,737.50","-","0.30%"
