Date;Price;Open;High;Low;Vol.;Porcentage_diff;Target;Price_gold;Perc_diff_gold;Price_silver;Perc_diff_silver;Price_copper;Perc_diff_copper;Price_aluminium;Perc_diff_aluminium;Price_platinum;Perc_diff_platinum;Price_palladium;Perc_diff_palladium
2014-06-16;599.1;582.3;606.1;580.5;3990.0;2.88;1.0;1274.9;0.09;19.702;-0.23;3.047;0.56;1840.25;0.34;1438.85;-0.37;810.1;-0.4
2014-06-17;605.1;599.1;608.4;594.9;3000.0;1.0;1.0;1271.7;-0.25;19.721;0.1;3.058;0.36;1852.0;0.64;1440.0;0.08;817.45;0.91
2014-06-18;606.2;605.1;614.4;603.6;3310.0;0.19;1.0;1272.4;0.06;19.767;0.23;3.055;-0.1;1874.5;1.21;1454.5;1.01;823.65;0.76
2014-06-19;600.2;606.2;612.6;598.7;5600.0;-1.0;0.0;1313.7;3.25;20.637;4.4;3.075;0.65;1890.5;0.85;1469.05;1.0;839.35;1.91
2014-06-20;590.8;600.2;602.0;587.1;2150.0;-1.57;0.0;1316.2;0.19;20.942;1.48;3.118;1.4;1888.5;-0.11;1458.4;-0.72;822.95;-1.95
2014-06-21;597.0;590.8;599.2;584.8;2280.0;1.06;1.0;1316.2;0.0;20.942;0.0;3.118;0.0;1888.5;0.0;1458.4;0.0;822.95;0.0
2014-06-22;603.6;597.0;610.1;592.0;2040.0;1.1;1.0;1316.2;0.0;20.942;0.0;3.118;0.0;1888.5;0.0;1458.4;0.0;822.95;0.0
2014-06-23;591.2;603.6;604.7;582.9;2650.0;-2.06;0.0;1318.0;0.14;20.909;0.16;3.146;0.9;1892.5;0.21;1454.1;-0.21;823.6;0.08
2014-06-24;588.8;591.2;595.7;585.4;3080.0;-0.41;0.0;1320.9;0.22;21.038;0.62;3.147;0.03;1901.0;0.45;1471.55;1.2;831.8;1.0
2014-06-25;568.5;588.8;589.6;566.9;3090.0;-3.45;0.0;1322.2;0.1;21.111;0.35;3.16;0.41;1903.5;0.13;1469.8;-0.12;834.25;0.29
2014-06-26;582.7;568.5;582.7;565.8;4150.0;2.51;1.0;1316.1;-0.46;21.103;-0.04;3.161;0.03;1898.0;-0.29;1470.85;0.07;835.8;0.19
2014-06-27;602.2;582.7;603.9;580.1;3390.0;3.35;1.0;1319.0;0.22;21.077;-0.12;3.149;-0.38;1885.0;-0.68;1480.4;0.65;843.25;0.89
2014-06-28;597.6;602.2;608.8;594.0;2940.0;-0.78;0.0;1319.0;0.0;21.077;0.0;3.149;0.0;1885.0;0.0;1480.4;0.0;843.25;0.0
2014-06-29;601.1;597.6;604.3;593.2;2890.0;0.59;1.0;1319.0;0.0;21.077;0.0;3.149;0.0;1885.0;0.0;1480.4;0.0;843.25;0.0
2014-06-30;635.1;601.1;637.3;596.5;3830.0;5.67;1.0;1475.1;11.83;21.007;0.03;3.188;1.24;1890.75;0.31;1486.9;0.58;843.55;0.04
2014-07-01;643.2;635.1;652.5;634.1;4110.0;1.27;1.0;1480.2;0.35;21.067;0.29;3.191;0.09;1884.5;-0.33;1505.15;1.23;854.6;1.31
2014-07-02;645.7;643.2;652.1;604.6;4780.0;0.39;1.0;1484.8;0.31;21.254;0.89;3.252;1.91;1926.0;2.2;1507.7;0.17;857.4;0.33
2014-07-03;638.0;645.7;646.4;633.6;4010.0;-1.19;0.0;1475.6;-0.62;21.089;-0.78;3.265;0.4;1936.0;0.52;1500.05;-0.51;861.9;0.52
2014-07-04;624.0;638.0;642.2;623.0;3600.0;-2.21;0.0;1475.6;0.0;21.089;0.0;3.265;0.0;1936.0;0.0;1500.05;0.0;861.9;0.0
2014-07-05;623.0;624.0;627.8;619.7;3250.0;-0.16;0.0;1475.6;0.0;21.089;0.0;3.265;0.0;1936.0;0.0;1500.05;0.0;861.9;0.0
2014-07-06;626.7;623.0;629.4;622.7;2700.0;0.59;1.0;1475.6;0.0;21.089;0.0;3.265;0.0;1936.0;0.0;1500.05;0.0;861.9;0.0
2014-07-07;613.6;626.7;627.9;607.3;2530.0;-2.08;0.0;1472.0;11.41;20.966;-0.81;3.248;-0.52;1919.5;-0.1;1498.2;-0.43;868.95;0.39
2014-07-08;615.3;613.6;619.7;609.3;3210.0;0.28;1.0;1471.4;-0.04;20.967;0.0;3.243;-0.15;1938.0;0.96;1502.3;0.27;872.9;0.45
2014-07-09;623.0;615.3;623.8;610.5;3070.0;1.25;1.0;1479.7;0.56;21.022;0.26;3.236;-0.22;1937.75;-0.01;1510.0;0.51;872.7;-0.02
2014-07-10;618.4;623.0;625.0;611.7;3610.0;-0.74;0.0;1494.7;1.01;21.459;2.08;3.256;0.62;1922.25;-0.8;1516.2;0.41;873.05;0.04
2014-07-11;632.9;618.4;633.6;616.1;3120.0;2.35;1.0;1492.9;-0.12;21.411;-0.22;3.259;0.09;1939.0;0.87;1515.65;-0.04;875.3;0.26
2014-07-12;635.9;632.9;638.6;625.9;3430.0;0.47;1.0;1492.9;0.0;21.411;0.0;3.259;0.0;1939.0;0.0;1515.65;0.0;875.3;0.0
2014-07-13;628.0;635.9;638.6;627.5;1700.0;-1.24;0.0;1492.9;0.0;21.411;0.0;3.259;0.0;1939.0;0.0;1515.65;0.0;875.3;0.0
2014-07-14;618.3;628.0;629.0;616.1;2550.0;-1.55;0.0;1460.7;-2.16;20.864;-2.99;3.239;-0.61;1938.5;-0.03;1499.55;-1.07;872.0;-0.38
2014-07-15;619.6;618.3;624.4;617.3;3690.0;0.21;1.0;1451.3;-0.64;20.842;-0.11;3.239;0.0;1960.0;1.11;1488.05;-0.77;868.55;-0.4
2014-07-16;614.8;619.6;622.4;614.2;3000.0;-0.77;0.0;1454.9;0.25;20.727;-0.55;3.205;-1.05;1970.5;0.54;1487.95;-0.01;876.75;0.94
2014-07-17;626.6;614.8;632.5;610.0;2920.0;1.92;1.0;1472.1;1.18;21.086;1.73;3.209;0.12;1990.0;0.99;1505.45;1.18;885.1;0.95
2014-07-18;627.5;626.6;630.2;617.9;3350.0;0.14;1.0;1464.7;-0.5;20.838;-1.18;3.174;-1.09;1982.75;-0.36;1492.7;-0.85;881.5;-0.41
2014-07-19;627.0;627.5;634.1;625.1;3960.0;-0.07;0.0;1464.7;0.0;20.838;0.0;3.174;0.0;1982.75;0.0;1492.7;0.0;881.5;0.0
2014-07-20;621.0;627.0;627.9;620.0;2300.0;-0.97;0.0;1464.7;0.0;20.838;0.0;3.174;0.0;1982.75;0.0;1492.7;0.0;881.5;0.0
2014-07-21;625.1;621.0;625.9;615.0;2530.0;0.67;1.0;1469.6;0.33;20.966;0.18;3.187;0.41;2021.0;1.93;1490.8;-0.19;877.15;-0.49
2014-07-22;622.5;625.1;628.8;620.0;3280.0;-0.42;0.0;1461.6;-0.54;20.965;-0.0;3.196;0.28;2044.5;1.16;1489.4;-0.09;874.85;-0.26
2014-07-23;621.7;622.5;625.0;621.0;2170.0;-0.13;0.0;1460.3;-0.09;20.952;-0.06;3.195;-0.03;2017.25;-1.33;1484.6;-0.32;874.3;-0.06
2014-07-24;601.9;621.7;622.0;599.4;4740.0;-3.19;0.0;1447.3;-0.89;20.376;-2.75;3.254;1.85;2027.0;0.48;1473.1;-0.77;870.95;-0.38
2014-07-25;600.5;601.9;609.1;597.4;5920.0;-0.23;0.0;1460.3;0.9;20.588;1.04;3.227;-0.83;1998.0;-1.43;1481.2;0.55;878.8;0.9
2014-07-26;596.0;600.5;603.0;593.3;3480.0;-0.75;0.0;1460.3;0.0;20.588;0.0;3.227;0.0;1998.0;0.0;1481.2;0.0;878.8;0.0
2014-07-27;595.0;596.0;601.5;593.7;3530.0;-0.16;0.0;1460.3;0.0;20.588;0.0;3.227;0.0;1998.0;0.0;1481.2;0.0;878.8;0.0
2014-07-28;587.9;595.0;597.5;578.1;2330.0;-1.19;0.0;1462.0;0.12;20.526;-1.09;3.231;0.12;2015.0;0.85;1491.25;0.73;880.75;0.22
2014-07-29;585.8;587.9;591.3;579.5;6720.0;-0.37;0.0;1456.7;-0.36;20.546;0.1;3.209;-0.68;1981.25;-1.67;1484.65;-0.44;878.3;-0.28
2014-07-30;564.6;585.8;586.1;564.2;4100.0;-3.61;0.0;1456.1;-0.04;20.558;0.06;3.232;0.72;2021.0;2.01;1481.9;-0.19;880.15;0.21
2014-07-31;589.5;564.6;593.7;564.0;3520.0;4.41;1.0;1441.5;-1.0;20.373;-0.9;3.223;-0.28;1988.5;-1.61;1464.9;-1.15;873.7;-0.73
2014-08-01;598.8;589.5;604.0;586.4;8930.0;1.57;1.0;1451.1;0.67;20.332;-0.2;3.207;-0.5;1973.5;-0.75;1465.75;0.06;864.55;-1.05
2014-08-02;591.7;598.8;598.9;587.4;2120.0;-1.18;0.0;1451.1;0.0;20.332;0.0;3.207;0.0;1973.5;0.0;1465.75;0.0;864.55;0.0
2014-08-03;588.9;591.7;592.1;580.6;1260.0;-0.47;0.0;1451.1;0.0;20.332;0.0;3.207;0.0;1973.5;0.0;1465.75;0.0;864.55;0.0
2014-08-04;592.8;588.9;595.1;586.5;3420.0;0.65;1.0;1441.9;-0.63;20.194;-0.83;3.236;0.9;2025.0;2.61;1466.65;0.06;855.1;-1.09
