DATE,ECBASSETSW
2010-01-01,1904935.0
2010-01-08,1879590.0
2010-01-15,1870606.0
2010-01-22,1870342.0
2010-01-29,1877655.0
2010-02-05,1874500.0
2010-02-12,1874687.0
2010-02-19,1880871.0
2010-02-26,1889017.0
2010-03-05,1890311.0
2010-03-12,1886697.0
2010-03-19,1889712.0
2010-03-26,1894898.0
2010-04-02,1942548.0
2010-04-09,1936654.0
2010-04-16,1939989.0
2010-04-23,1943260.0
2010-04-30,1956819.0
2010-05-07,1983241.0
2010-05-14,2062943.0
2010-05-21,2069968.0
2010-05-28,2088450.0
2010-06-04,2098508.0
2010-06-11,2107126.0
2010-06-18,2124740.0
2010-06-25,2154245.0
2010-07-02,2049811.0
2010-07-09,2004747.0
2010-07-16,1986989.0
2010-07-23,1993612.0
2010-07-30,2001660.0
2010-08-06,1964906.0
2010-08-13,1953086.0
2010-08-20,1956064.0
2010-08-27,1957926.0
2010-09-03,1963223.0
2010-09-10,1973255.0
2010-09-17,1970482.0
2010-09-24,1971356.0
2010-10-01,1865885.0
2010-10-08,1867952.0
2010-10-15,1876946.0
2010-10-22,1877963.0
2010-10-29,1895679.0
2010-11-05,1886353.0
2010-11-12,1878979.0
2010-11-19,1888388.0
2010-11-26,1915961.0
2010-12-03,1924130.0
2010-12-10,1951661.0
2010-12-17,1945232.0
2010-12-24,1926154.0
2010-12-31,2004432.0
2011-01-07,1965895.0
2011-01-14,1957146.0
2011-01-21,1961122.0
2011-01-28,1965568.0
2011-02-04,2015599.0
2011-02-11,1956143.0
2011-02-18,1958491.0
2011-02-25,1952278.0
2011-03-04,1939219.0
2011-03-11,1953018.0
2011-03-18,1940378.0
2011-03-25,1928055.0
2011-04-01,1888496.0
2011-04-08,1873111.0
2011-04-15,1885017.0
2011-04-22,1887882.0
2011-04-29,1894101.0
2011-05-06,1901850.0
2011-05-13,1898665.0
2011-05-20,1895870.0
2011-05-27,1900610.0
2011-06-03,1898989.0
2011-06-10,1892579.0
2011-06-17,1914538.0
2011-06-24,1972174.0
2011-07-01,1944583.0
2011-07-08,1919501.0
2011-07-15,1957194.0
2011-07-22,2006061.0
2011-07-29,2000471.0
2011-08-05,2004290.0
2011-08-12,2073026.0
2011-08-19,2076647.0
2011-08-26,2071633.0
2011-09-02,2073122.0
2011-09-09,2086364.0
2011-09-16,2134721.0
2011-09-23,2180075.0
2011-09-30,2288571.0
2011-10-07,2295727.0
2011-10-14,2310857.0
2011-10-21,2313175.0
2011-10-28,2333373.0
2011-11-04,2328553.0
2011-11-11,2343547.0
2011-11-18,2393350.0
