Date;Price;Open;High;Low;Vol.;Porcentage_diff;Target;ADX;ADX_MDI;ADX_MDM;ADX_DX;ADX_PDI;ADX_PDM;Aroondown;Aroonup;Aroon_Oscillator;MACD;MACDSIGNAL;MACDHIST;MOM;ROC;RSI;STOCHRSI_fastk;STOCHRSI_fastd;ULTOSC;WILLR;ADX_ET;ADXR_ET;MACD_ET;ROC_ET;STOCHRSI_fastk_ET;STOCHRSI_fastd_ET
2010-07-18;0.1;0.0;0.1;0.1;80.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-19;0.1;0.1;0.1;0.1;570.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-20;0.1;0.1;0.1;0.1;260.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-21;0.1;0.1;0.1;0.1;580.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-22;0.1;0.1;0.1;0.1;2160.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-23;0.1;0.1;0.1;0.1;2400.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-24;0.1;0.1;0.1;0.1;500.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-25;0.1;0.1;0.1;0.1;1550.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-26;0.1;0.1;0.1;0.1;880.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-27;0.1;0.1;0.1;0.1;3370.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2010-07-28;0.1;0.1;0.1;0.1;4390.0;0.0;0.0;;;;;;;;;;;;;0.0;0.0;0.0;;;;;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
